Trace1,,,,
Freq,,Amp,,
            52255613,Hz,             -101.10, dBm,
            52260619,Hz,             -102.65, dBm,
            52265625,Hz,              -99.72, dBm,
            52270631,Hz,              -97.53, dBm,
            52275637,Hz,              -98.99, dBm,
            52280643,Hz,             -100.05, dBm,
            52285649,Hz,              -97.72, dBm,
            52290655,Hz,             -102.53, dBm,
            52295661,Hz,              -97.50, dBm,
            52300667,Hz,              -99.78, dBm,
            52305673,Hz,              -99.49, dBm,
            52310679,Hz,              -97.23, dBm,
            52315685,Hz,              -98.42, dBm,
            52320691,Hz,             -100.08, dBm,
            52325697,Hz,              -99.03, dBm,
            52330703,Hz,              -99.05, dBm,
            52335709,Hz,              -99.60, dBm,
            52340715,Hz,             -100.29, dBm,
            52345721,Hz,             -100.43, dBm,
            52350727,Hz,              -96.51, dBm,
            52355733,Hz,              -99.71, dBm,
            52360739,Hz,             -103.45, dBm,
            52365745,Hz,              -99.06, dBm,
            52370751,Hz,              -98.25, dBm,
            52375757,Hz,             -101.40, dBm,
            52380763,Hz,              -98.12, dBm,
            52385769,Hz,             -102.39, dBm,
            52390775,Hz,              -99.63, dBm,
            52395781,Hz,             -100.20, dBm,
            52400787,Hz,              -97.08, dBm,
            52405793,Hz,              -98.63, dBm,
            52410799,Hz,              -98.33, dBm,
            52415805,Hz,              -99.66, dBm,
            52420811,Hz,             -103.51, dBm,
            52425817,Hz,             -103.57, dBm,
            52430823,Hz,              -98.70, dBm,
            52435829,Hz,              -99.22, dBm,
            52440835,Hz,             -102.41, dBm,
            52445841,Hz,              -96.05, dBm,
            52450847,Hz,              -98.07, dBm,
            52455853,Hz,              -95.99, dBm,
            52460859,Hz,              -98.83, dBm,
            52465865,Hz,             -100.32, dBm,
            52470871,Hz,             -101.91, dBm,
            52475877,Hz,             -102.24, dBm,
            52480883,Hz,              -97.56, dBm,
            52485889,Hz,              -98.63, dBm,
            52490895,Hz,              -96.62, dBm,
            52495901,Hz,              -97.45, dBm,
            52500907,Hz,             -102.51, dBm,
            52505913,Hz,             -100.88, dBm,
            52510919,Hz,             -101.85, dBm,
            52515925,Hz,              -99.55, dBm,
            52520931,Hz,             -100.40, dBm,
            52525937,Hz,             -104.54, dBm,
            52530943,Hz,              -98.38, dBm,
            52535949,Hz,              -98.39, dBm,
            52540955,Hz,             -102.09, dBm,
            52545961,Hz,             -102.13, dBm,
            52550967,Hz,             -100.80, dBm,
            52555973,Hz,              -99.35, dBm,
            52560979,Hz,             -103.02, dBm,
            52565985,Hz,             -104.38, dBm,
            52570991,Hz,              -96.61, dBm,
            52575997,Hz,              -96.29, dBm,
            52581003,Hz,              -93.55, dBm,
            52586009,Hz,             -101.89, dBm,
            52591015,Hz,              -95.01, dBm,
            52596021,Hz,              -98.36, dBm,
            52601027,Hz,             -100.81, dBm,
            52606033,Hz,              -99.58, dBm,
            52611039,Hz,             -104.47, dBm,
            52616045,Hz,              -98.16, dBm,
            52621051,Hz,              -92.50, dBm,
            52626057,Hz,              -96.20, dBm,
            52631063,Hz,              -98.39, dBm,
            52636069,Hz,              -99.09, dBm,
            52641075,Hz,              -98.35, dBm,
            52646081,Hz,              -93.87, dBm,
            52651087,Hz,             -101.28, dBm,
            52656093,Hz,              -99.55, dBm,
            52661099,Hz,              -93.68, dBm,
            52666105,Hz,              -97.90, dBm,
            52671111,Hz,             -100.13, dBm,
            52676117,Hz,              -97.08, dBm,
            52681123,Hz,              -97.64, dBm,
            52686129,Hz,              -98.90, dBm,
            52691135,Hz,              -92.46, dBm,
            52696141,Hz,              -96.26, dBm,
            52701147,Hz,              -99.14, dBm,
            52706153,Hz,             -100.67, dBm,
            52711159,Hz,             -103.16, dBm,
            52716165,Hz,              -97.74, dBm,
            52721171,Hz,             -101.80, dBm,
            52726177,Hz,              -95.10, dBm,
            52731183,Hz,              -97.42, dBm,
            52736189,Hz,              -98.58, dBm,
            52741195,Hz,             -101.78, dBm,
            52746201,Hz,              -97.20, dBm,
            52751207,Hz,              -99.79, dBm,
            52756213,Hz,              -99.24, dBm,
            52761219,Hz,             -100.37, dBm,
            52766225,Hz,             -100.46, dBm,
            52771231,Hz,              -92.80, dBm,
            52776237,Hz,              -94.20, dBm,
            52781243,Hz,              -97.18, dBm,
            52786249,Hz,              -98.21, dBm,
            52791255,Hz,              -98.42, dBm,
            52796261,Hz,              -92.23, dBm,
            52801267,Hz,             -100.32, dBm,
            52806273,Hz,              -98.64, dBm,
            52811279,Hz,             -102.58, dBm,
            52816285,Hz,             -100.36, dBm,
            52821291,Hz,              -88.51, dBm,
            52826297,Hz,             -103.99, dBm,
            52831303,Hz,              -98.28, dBm,
            52836309,Hz,              -94.11, dBm,
            52841315,Hz,              -96.14, dBm,
            52846321,Hz,             -102.53, dBm,
            52851327,Hz,             -100.81, dBm,
            52856333,Hz,              -99.25, dBm,
            52861339,Hz,             -101.62, dBm,
            52866345,Hz,             -100.50, dBm,
            52871351,Hz,              -98.97, dBm,
            52876357,Hz,             -100.40, dBm,
            52881363,Hz,              -93.78, dBm,
            52886369,Hz,              -92.59, dBm,
            52891375,Hz,              -93.61, dBm,
            52896381,Hz,              -94.03, dBm,
            52901387,Hz,              -93.74, dBm,
            52906393,Hz,              -96.23, dBm,
            52911399,Hz,             -102.86, dBm,
            52916405,Hz,              -97.72, dBm,
            52921411,Hz,              -95.87, dBm,
            52926417,Hz,              -89.77, dBm,
            52931423,Hz,              -95.58, dBm,
            52936429,Hz,              -95.43, dBm,
            52941435,Hz,              -94.70, dBm,
            52946441,Hz,              -95.40, dBm,
            52951447,Hz,              -95.12, dBm,
            52956453,Hz,              -97.90, dBm,
            52961459,Hz,              -98.87, dBm,
            52966465,Hz,              -94.23, dBm,
            52971471,Hz,              -95.10, dBm,
            52976477,Hz,              -96.11, dBm,
            52981483,Hz,              -99.28, dBm,
            52986489,Hz,              -99.46, dBm,
            52991495,Hz,              -90.42, dBm,
            52996501,Hz,              -93.60, dBm,
            53001507,Hz,             -100.04, dBm,
            53006513,Hz,              -99.84, dBm,
            53011519,Hz,              -90.46, dBm,
            53016525,Hz,              -97.16, dBm,
            53021531,Hz,              -93.14, dBm,
            53026537,Hz,              -94.62, dBm,
            53031543,Hz,              -99.13, dBm,
            53036549,Hz,              -92.18, dBm,
            53041555,Hz,              -96.69, dBm,
            53046561,Hz,              -99.27, dBm,
            53051567,Hz,              -98.02, dBm,
            53056573,Hz,              -93.08, dBm,
            53061579,Hz,              -97.15, dBm,
            53066585,Hz,              -93.60, dBm,
            53071591,Hz,              -95.53, dBm,
            53076597,Hz,              -95.01, dBm,
            53081603,Hz,              -92.59, dBm,
            53086609,Hz,              -93.63, dBm,
            53091615,Hz,              -95.04, dBm,
            53096621,Hz,              -92.48, dBm,
            53101627,Hz,              -94.81, dBm,
            53106633,Hz,              -92.45, dBm,
            53111639,Hz,              -98.17, dBm,
            53116645,Hz,              -94.08, dBm,
            53121651,Hz,              -94.37, dBm,
            53126657,Hz,              -94.22, dBm,
            53131663,Hz,              -94.90, dBm,
            53136669,Hz,              -88.76, dBm,
            53141675,Hz,              -98.57, dBm,
            53146681,Hz,              -96.86, dBm,
            53151687,Hz,              -96.58, dBm,
            53156693,Hz,              -94.44, dBm,
            53161699,Hz,              -94.08, dBm,
            53166705,Hz,              -88.77, dBm,
            53171711,Hz,              -94.71, dBm,
            53176717,Hz,              -96.58, dBm,
            53181723,Hz,              -94.36, dBm,
            53186729,Hz,              -96.07, dBm,
            53191735,Hz,             -100.28, dBm,
            53196741,Hz,              -96.34, dBm,
            53201747,Hz,              -95.51, dBm,
            53206753,Hz,              -94.56, dBm,
            53211759,Hz,              -97.39, dBm,
            53216765,Hz,              -85.47, dBm,
            53221771,Hz,              -79.43, dBm,
            53226777,Hz,              -96.04, dBm,
            53231783,Hz,             -100.19, dBm,
            53236789,Hz,              -95.09, dBm,
            53241795,Hz,              -95.43, dBm,
            53246801,Hz,              -98.53, dBm,
            53251807,Hz,              -96.38, dBm,
            53256813,Hz,              -95.01, dBm,
            53261819,Hz,              -94.40, dBm,
            53266825,Hz,              -98.24, dBm,
            53271831,Hz,              -96.46, dBm,
            53276837,Hz,              -93.86, dBm,
            53281843,Hz,              -96.06, dBm,
            53286849,Hz,              -93.05, dBm,
            53291855,Hz,              -94.21, dBm,
            53296861,Hz,              -96.50, dBm,
            53301867,Hz,              -96.57, dBm,
            53306873,Hz,              -96.08, dBm,
            53311879,Hz,              -95.46, dBm,
            53316885,Hz,              -94.35, dBm,
            53321891,Hz,              -95.01, dBm,
            53326897,Hz,              -94.18, dBm,
            53331903,Hz,              -95.85, dBm,
            53336909,Hz,              -96.66, dBm,
            53341915,Hz,              -95.19, dBm,
            53346921,Hz,              -94.02, dBm,
            53351927,Hz,              -95.48, dBm,
            53356933,Hz,              -96.49, dBm,
            53361939,Hz,              -98.78, dBm,
            53366945,Hz,              -95.62, dBm,
            53371951,Hz,              -91.19, dBm,
            53376957,Hz,              -93.51, dBm,
            53381963,Hz,              -95.98, dBm,
            53386969,Hz,              -98.41, dBm,
            53391975,Hz,              -98.15, dBm,
            53396981,Hz,              -88.21, dBm,
            53401987,Hz,              -98.46, dBm,
            53406993,Hz,              -97.25, dBm,
            53411999,Hz,              -95.28, dBm,
            53417005,Hz,              -96.29, dBm,
            53422011,Hz,              -93.92, dBm,
            53427017,Hz,              -97.22, dBm,
            53432023,Hz,              -92.69, dBm,
            53437029,Hz,              -97.53, dBm,
            53442035,Hz,              -94.86, dBm,
            53447041,Hz,              -94.87, dBm,
            53452047,Hz,              -98.24, dBm,
            53457053,Hz,              -98.50, dBm,
            53462059,Hz,              -91.57, dBm,
            53467065,Hz,              -91.32, dBm,
            53472071,Hz,              -90.13, dBm,
            53477077,Hz,              -95.03, dBm,
            53482083,Hz,              -98.49, dBm,
            53487089,Hz,              -97.03, dBm,
            53492095,Hz,              -96.04, dBm,
            53497101,Hz,              -97.65, dBm,
            53502107,Hz,              -93.54, dBm,
            53507113,Hz,              -95.90, dBm,
            53512119,Hz,              -98.84, dBm,
