Trace1,,,,Trace2,,,,
Freq,,Amp,,Freq,,Amp,,
            52936381,Hz,              -89.17, dBm,            52936381,Hz,              -91.15, dBm,
            52937330,Hz,              -85.30, dBm,            52937330,Hz,              -89.26, dBm,
            52938279,Hz,              -86.97, dBm,            52938279,Hz,              -89.11, dBm,
            52939228,Hz,              -85.20, dBm,            52939228,Hz,              -87.17, dBm,
            52940177,Hz,              -86.17, dBm,            52940177,Hz,              -85.66, dBm,
            52941126,Hz,              -84.77, dBm,            52941126,Hz,              -84.59, dBm,
            52942075,Hz,              -82.27, dBm,            52942075,Hz,              -83.92, dBm,
            52943024,Hz,              -81.33, dBm,            52943024,Hz,              -82.60, dBm,
            52943973,Hz,              -83.83, dBm,            52943973,Hz,              -83.00, dBm,
            52944922,Hz,              -81.91, dBm,            52944922,Hz,              -83.00, dBm,
            52945871,Hz,              -83.83, dBm,            52945871,Hz,              -83.34, dBm,
            52946820,Hz,              -83.71, dBm,            52946820,Hz,              -83.23, dBm,
            52947769,Hz,              -87.10, dBm,            52947769,Hz,              -84.21, dBm,
            52948718,Hz,              -88.07, dBm,            52948718,Hz,              -85.06, dBm,
            52949667,Hz,              -88.69, dBm,            52949667,Hz,              -85.35, dBm,
            52950616,Hz,              -88.32, dBm,            52950616,Hz,              -86.72, dBm,
            52951565,Hz,              -90.13, dBm,            52951565,Hz,              -88.00, dBm,
            52952514,Hz,              -89.72, dBm,            52952514,Hz,              -89.75, dBm,
            52953463,Hz,              -89.68, dBm,            52953463,Hz,              -90.24, dBm,
            52954412,Hz,              -91.32, dBm,            52954412,Hz,              -91.02, dBm,
            52955361,Hz,              -87.69, dBm,            52955361,Hz,              -90.09, dBm,
            52956310,Hz,              -86.92, dBm,            52956310,Hz,              -88.14, dBm,
            52957259,Hz,              -86.21, dBm,            52957259,Hz,              -87.17, dBm,
            52958208,Hz,              -83.76, dBm,            52958208,Hz,              -85.12, dBm,
            52959157,Hz,              -84.43, dBm,            52959157,Hz,              -85.29, dBm,
            52960106,Hz,              -83.91, dBm,            52960106,Hz,              -83.99, dBm,
            52961055,Hz,              -81.56, dBm,            52961055,Hz,              -82.71, dBm,
            52962004,Hz,              -82.50, dBm,            52962004,Hz,              -82.87, dBm,
            52962953,Hz,              -83.21, dBm,            52962953,Hz,              -82.45, dBm,
            52963902,Hz,              -82.80, dBm,            52963902,Hz,              -82.75, dBm,
