Trace1,,,,
Freq,,Amp,,
            51664905,Hz,              -98.27, dBm,
            51669911,Hz,              -97.85, dBm,
            51674917,Hz,             -102.72, dBm,
            51679923,Hz,             -100.94, dBm,
            51684929,Hz,              -95.42, dBm,
            51689935,Hz,              -97.04, dBm,
            51694941,Hz,              -95.31, dBm,
            51699947,Hz,              -96.52, dBm,
            51704953,Hz,              -98.15, dBm,
            51709959,Hz,              -98.09, dBm,
            51714965,Hz,              -96.12, dBm,
            51719971,Hz,              -97.89, dBm,
            51724977,Hz,              -97.70, dBm,
            51729983,Hz,              -98.67, dBm,
            51734989,Hz,              -97.84, dBm,
            51739995,Hz,              -97.24, dBm,
            51745001,Hz,              -97.49, dBm,
            51750007,Hz,             -101.78, dBm,
            51755013,Hz,              -95.57, dBm,
            51760019,Hz,              -96.53, dBm,
            51765025,Hz,              -97.39, dBm,
            51770031,Hz,             -101.19, dBm,
            51775037,Hz,              -99.81, dBm,
            51780043,Hz,             -102.63, dBm,
            51785049,Hz,              -97.85, dBm,
            51790055,Hz,              -97.45, dBm,
            51795061,Hz,              -98.57, dBm,
            51800067,Hz,              -97.37, dBm,
            51805073,Hz,              -98.20, dBm,
            51810079,Hz,             -100.09, dBm,
            51815085,Hz,              -99.73, dBm,
            51820091,Hz,              -97.11, dBm,
            51825097,Hz,              -96.79, dBm,
            51830103,Hz,             -101.26, dBm,
            51835109,Hz,              -98.20, dBm,
            51840115,Hz,              -98.13, dBm,
            51845121,Hz,              -97.02, dBm,
            51850127,Hz,              -97.20, dBm,
            51855133,Hz,              -98.19, dBm,
            51860139,Hz,              -99.53, dBm,
            51865145,Hz,              -98.62, dBm,
            51870151,Hz,              -94.46, dBm,
            51875157,Hz,              -98.97, dBm,
            51880163,Hz,              -98.34, dBm,
            51885169,Hz,              -98.49, dBm,
            51890175,Hz,              -96.44, dBm,
            51895181,Hz,              -97.56, dBm,
            51900187,Hz,              -95.43, dBm,
            51905193,Hz,              -96.48, dBm,
            51910199,Hz,              -92.93, dBm,
            51915205,Hz,              -93.96, dBm,
            51920211,Hz,              -94.83, dBm,
            51925217,Hz,              -97.72, dBm,
            51930223,Hz,             -102.06, dBm,
            51935229,Hz,             -100.06, dBm,
            51940235,Hz,              -96.54, dBm,
