Trace1,,,,
Freq,,Amp,,
            51664905,Hz,              -96.64, dBm,
            51669911,Hz,              -96.51, dBm,
            51674917,Hz,              -95.15, dBm,
            51679923,Hz,              -99.58, dBm,
            51684929,Hz,              -94.62, dBm,
            51689935,Hz,              -98.26, dBm,
            51694941,Hz,              -94.33, dBm,
            51699947,Hz,             -100.06, dBm,
            51704953,Hz,              -93.70, dBm,
            51709959,Hz,              -95.85, dBm,
            51714965,Hz,              -94.75, dBm,
            51719971,Hz,              -92.94, dBm,
            51724977,Hz,              -96.68, dBm,
            51729983,Hz,             -100.25, dBm,
            51734989,Hz,              -95.48, dBm,
            51739995,Hz,              -95.17, dBm,
            51745001,Hz,              -97.91, dBm,
            51750007,Hz,              -96.00, dBm,
            51755013,Hz,              -96.41, dBm,
            51760019,Hz,              -95.43, dBm,
            51765025,Hz,              -98.71, dBm,
            51770031,Hz,              -94.73, dBm,
            51775037,Hz,              -93.85, dBm,
            51780043,Hz,              -99.97, dBm,
            51785049,Hz,              -96.15, dBm,
            51790055,Hz,              -95.57, dBm,
            51795061,Hz,              -96.44, dBm,
            51800067,Hz,              -96.97, dBm,
            51805073,Hz,              -97.54, dBm,
            51810079,Hz,              -99.93, dBm,
            51815085,Hz,             -100.51, dBm,
            51820091,Hz,              -98.16, dBm,
            51825097,Hz,              -96.07, dBm,
            51830103,Hz,              -98.32, dBm,
            51835109,Hz,              -96.68, dBm,
            51840115,Hz,              -93.06, dBm,
            51845121,Hz,              -99.82, dBm,
            51850127,Hz,              -95.40, dBm,
            51855133,Hz,              -93.88, dBm,
            51860139,Hz,              -99.20, dBm,
            51865145,Hz,              -94.20, dBm,
            51870151,Hz,              -96.93, dBm,
            51875157,Hz,              -96.44, dBm,
            51880163,Hz,              -97.62, dBm,
            51885169,Hz,              -99.33, dBm,
            51890175,Hz,              -95.55, dBm,
            51895181,Hz,             -101.57, dBm,
            51900187,Hz,              -95.58, dBm,
            51905193,Hz,              -95.14, dBm,
            51910199,Hz,              -94.05, dBm,
            51915205,Hz,              -93.62, dBm,
            51920211,Hz,              -95.85, dBm,
            51925217,Hz,              -96.64, dBm,
            51930223,Hz,              -97.45, dBm,
            51935229,Hz,              -95.60, dBm,
            51940235,Hz,              -98.04, dBm,
            51945241,Hz,              -93.78, dBm,
            51950247,Hz,              -94.55, dBm,
            51955253,Hz,              -98.00, dBm,
            51960259,Hz,              -96.06, dBm,
            51965265,Hz,              -99.18, dBm,
            51970271,Hz,              -98.08, dBm,
            51975277,Hz,              -94.98, dBm,
            51980283,Hz,              -97.99, dBm,
            51985289,Hz,              -93.79, dBm,
            51990295,Hz,              -95.76, dBm,
            51995301,Hz,              -95.69, dBm,
            52000307,Hz,              -95.82, dBm,
            52005313,Hz,             -101.54, dBm,
            52010319,Hz,             -101.26, dBm,
            52015325,Hz,              -95.68, dBm,
            52020331,Hz,              -99.29, dBm,
            52025337,Hz,              -95.28, dBm,
            52030343,Hz,              -97.70, dBm,
            52035349,Hz,              -95.97, dBm,
            52040355,Hz,              -97.12, dBm,
            52045361,Hz,             -101.00, dBm,
            52050367,Hz,              -97.75, dBm,
            52055373,Hz,              -93.93, dBm,
            52060379,Hz,              -96.25, dBm,
            52065385,Hz,              -93.61, dBm,
            52070391,Hz,              -94.02, dBm,
            52075397,Hz,              -96.73, dBm,
            52080403,Hz,              -94.72, dBm,
            52085409,Hz,              -93.18, dBm,
            52090415,Hz,              -96.87, dBm,
            52095421,Hz,              -96.49, dBm,
            52100427,Hz,              -92.83, dBm,
            52105433,Hz,              -96.88, dBm,
            52110439,Hz,              -94.53, dBm,
            52115445,Hz,              -98.94, dBm,
            52120451,Hz,              -95.69, dBm,
            52125457,Hz,              -94.54, dBm,
            52130463,Hz,              -97.65, dBm,
            52135469,Hz,              -91.10, dBm,
            52140475,Hz,              -95.32, dBm,
            52145481,Hz,              -97.96, dBm,
            52150487,Hz,              -95.92, dBm,
            52155493,Hz,              -94.41, dBm,
            52160499,Hz,              -90.91, dBm,
            52165505,Hz,              -93.60, dBm,
            52170511,Hz,              -96.67, dBm,
            52175517,Hz,              -94.35, dBm,
            52180523,Hz,              -96.60, dBm,
            52185529,Hz,              -95.27, dBm,
            52190535,Hz,              -98.76, dBm,
            52195541,Hz,              -95.10, dBm,
            52200547,Hz,              -95.02, dBm,
            52205553,Hz,              -96.86, dBm,
            52210559,Hz,              -94.67, dBm,
            52215565,Hz,              -93.63, dBm,
            52220571,Hz,              -98.13, dBm,
            52225577,Hz,              -97.55, dBm,
            52230583,Hz,              -94.43, dBm,
            52235589,Hz,              -95.64, dBm,
            52240595,Hz,              -95.90, dBm,
            52245601,Hz,              -91.57, dBm,
            52250607,Hz,              -94.08, dBm,
            52255613,Hz,              -95.53, dBm,
            52260619,Hz,              -95.73, dBm,
            52265625,Hz,              -96.20, dBm,
            52270631,Hz,              -94.08, dBm,
            52275637,Hz,              -93.38, dBm,
            52280643,Hz,              -91.01, dBm,
            52285649,Hz,              -91.80, dBm,
            52290655,Hz,              -95.14, dBm,
            52295661,Hz,              -92.57, dBm,
            52300667,Hz,              -94.86, dBm,
            52305673,Hz,              -93.00, dBm,
            52310679,Hz,              -94.43, dBm,
            52315685,Hz,              -97.33, dBm,
            52320691,Hz,              -93.88, dBm,
            52325697,Hz,              -96.01, dBm,
            52330703,Hz,              -95.53, dBm,
            52335709,Hz,              -93.66, dBm,
            52340715,Hz,              -92.31, dBm,
            52345721,Hz,              -94.31, dBm,
            52350727,Hz,              -94.36, dBm,
            52355733,Hz,              -97.50, dBm,
            52360739,Hz,              -96.72, dBm,
            52365745,Hz,              -92.29, dBm,
            52370751,Hz,              -95.67, dBm,
            52375757,Hz,              -92.49, dBm,
            52380763,Hz,              -95.31, dBm,
            52385769,Hz,              -96.15, dBm,
            52390775,Hz,              -94.80, dBm,
