Trace1,,,,
Freq,,Amp,,
            52460859,Hz,              -98.69, dBm,
            52465865,Hz,             -100.67, dBm,
            52470871,Hz,              -97.10, dBm,
            52475877,Hz,              -95.69, dBm,
            52480883,Hz,             -100.11, dBm,
            52485889,Hz,              -98.08, dBm,
            52490895,Hz,              -95.63, dBm,
            52495901,Hz,              -98.59, dBm,
            52500907,Hz,             -102.84, dBm,
            52505913,Hz,              -99.38, dBm,
            52510919,Hz,              -97.91, dBm,
            52515925,Hz,              -97.64, dBm,
            52520931,Hz,              -99.43, dBm,
            52525937,Hz,              -98.85, dBm,
            52530943,Hz,              -91.58, dBm,
            52535949,Hz,              -96.24, dBm,
            52540955,Hz,              -97.01, dBm,
            52545961,Hz,              -97.85, dBm,
            52550967,Hz,             -100.11, dBm,
            52555973,Hz,              -91.59, dBm,
            52560979,Hz,             -102.76, dBm,
            52565985,Hz,              -96.99, dBm,
            52570991,Hz,              -96.50, dBm,
            52575997,Hz,              -97.00, dBm,
            52581003,Hz,             -102.69, dBm,
            52586009,Hz,              -95.37, dBm,
            52591015,Hz,             -100.72, dBm,
            52596021,Hz,              -98.81, dBm,
            52601027,Hz,              -98.52, dBm,
            52606033,Hz,              -98.83, dBm,
            52611039,Hz,              -99.69, dBm,
            52616045,Hz,             -103.67, dBm,
            52621051,Hz,              -98.41, dBm,
            52626057,Hz,              -98.50, dBm,
            52631063,Hz,              -99.65, dBm,
            52636069,Hz,              -97.04, dBm,
            52641075,Hz,              -97.66, dBm,
            52646081,Hz,              -94.03, dBm,
            52651087,Hz,              -94.92, dBm,
            52656093,Hz,              -96.51, dBm,
            52661099,Hz,              -98.69, dBm,
            52666105,Hz,              -93.30, dBm,
            52671111,Hz,              -94.19, dBm,
            52676117,Hz,              -95.36, dBm,
            52681123,Hz,              -99.32, dBm,
            52686129,Hz,             -100.90, dBm,
            52691135,Hz,              -99.27, dBm,
            52696141,Hz,              -98.37, dBm,
            52701147,Hz,             -100.21, dBm,
            52706153,Hz,              -98.49, dBm,
            52711159,Hz,             -100.16, dBm,
            52716165,Hz,              -99.60, dBm,
            52721171,Hz,              -99.04, dBm,
            52726177,Hz,             -100.84, dBm,
            52731183,Hz,              -96.10, dBm,
            52736189,Hz,              -99.33, dBm,
            52741195,Hz,              -96.17, dBm,
            52746201,Hz,              -92.14, dBm,
            52751207,Hz,             -102.35, dBm,
            52756213,Hz,             -101.53, dBm,
            52761219,Hz,              -91.04, dBm,
            52766225,Hz,              -92.64, dBm,
            52771231,Hz,              -96.75, dBm,
            52776237,Hz,              -91.79, dBm,
            52781243,Hz,              -94.66, dBm,
            52786249,Hz,              -98.07, dBm,
            52791255,Hz,              -99.86, dBm,
            52796261,Hz,              -88.30, dBm,
            52801267,Hz,              -96.39, dBm,
            52806273,Hz,              -96.81, dBm,
            52811279,Hz,             -100.95, dBm,
            52816285,Hz,              -97.57, dBm,
            52821291,Hz,              -96.66, dBm,
            52826297,Hz,              -96.27, dBm,
            52831303,Hz,              -95.17, dBm,
            52836309,Hz,              -93.75, dBm,
            52841315,Hz,              -97.99, dBm,
            52846321,Hz,              -90.01, dBm,
            52851327,Hz,              -95.73, dBm,
            52856333,Hz,              -91.83, dBm,
            52861339,Hz,              -90.49, dBm,
            52866345,Hz,              -97.38, dBm,
            52871351,Hz,              -96.28, dBm,
            52876357,Hz,              -94.95, dBm,
            52881363,Hz,              -89.87, dBm,
            52886369,Hz,              -93.10, dBm,
            52891375,Hz,              -91.34, dBm,
            52896381,Hz,              -94.73, dBm,
            52901387,Hz,              -94.45, dBm,
            52906393,Hz,              -94.53, dBm,
            52911399,Hz,             -100.67, dBm,
            52916405,Hz,              -94.83, dBm,
            52921411,Hz,              -94.01, dBm,
            52926417,Hz,              -96.66, dBm,
            52931423,Hz,              -96.39, dBm,
            52936429,Hz,              -95.59, dBm,
            52941435,Hz,              -90.72, dBm,
            52946441,Hz,              -97.81, dBm,
            52951447,Hz,              -94.25, dBm,
            52956453,Hz,              -93.26, dBm,
            52961459,Hz,              -91.73, dBm,
            52966465,Hz,              -96.07, dBm,
            52971471,Hz,              -93.93, dBm,
            52976477,Hz,              -94.89, dBm,
            52981483,Hz,              -96.69, dBm,
            52986489,Hz,              -91.21, dBm,
            52991495,Hz,              -88.73, dBm,
            52996501,Hz,              -91.87, dBm,
            53001507,Hz,              -90.94, dBm,
            53006513,Hz,             -101.05, dBm,
            53011519,Hz,              -90.60, dBm,
            53016525,Hz,              -90.83, dBm,
            53021531,Hz,              -91.70, dBm,
            53026537,Hz,              -91.28, dBm,
            53031543,Hz,              -96.69, dBm,
            53036549,Hz,              -93.03, dBm,
            53041555,Hz,              -96.94, dBm,
            53046561,Hz,              -90.12, dBm,
            53051567,Hz,              -97.87, dBm,
            53056573,Hz,              -86.27, dBm,
            53061579,Hz,              -89.57, dBm,
            53066585,Hz,              -96.92, dBm,
            53071591,Hz,              -89.84, dBm,
            53076597,Hz,              -96.95, dBm,
            53081603,Hz,              -93.59, dBm,
            53086609,Hz,              -90.15, dBm,
            53091615,Hz,              -90.68, dBm,
            53096621,Hz,              -92.43, dBm,
            53101627,Hz,              -90.92, dBm,
            53106633,Hz,              -91.54, dBm,
            53111639,Hz,              -88.98, dBm,
            53116645,Hz,              -93.41, dBm,
            53121651,Hz,              -99.84, dBm,
            53126657,Hz,              -97.98, dBm,
            53131663,Hz,              -96.17, dBm,
            53136669,Hz,              -89.00, dBm,
            53141675,Hz,              -92.34, dBm,
            53146681,Hz,              -95.22, dBm,
            53151687,Hz,              -93.34, dBm,
            53156693,Hz,              -89.46, dBm,
            53161699,Hz,              -89.68, dBm,
            53166705,Hz,              -95.17, dBm,
            53171711,Hz,              -91.62, dBm,
            53176717,Hz,              -95.33, dBm,
            53181723,Hz,              -96.98, dBm,
            53186729,Hz,              -90.63, dBm,
            53191735,Hz,              -89.88, dBm,
            53196741,Hz,              -92.32, dBm,
            53201747,Hz,              -91.68, dBm,
            53206753,Hz,              -95.82, dBm,
            53211759,Hz,              -95.12, dBm,
            53216765,Hz,              -84.73, dBm,
            53221771,Hz,              -79.05, dBm,
            53226777,Hz,              -97.10, dBm,
            53231783,Hz,              -91.76, dBm,
            53236789,Hz,              -98.02, dBm,
            53241795,Hz,             -101.19, dBm,
            53246801,Hz,              -92.42, dBm,
            53251807,Hz,              -94.49, dBm,
            53256813,Hz,              -85.16, dBm,
            53261819,Hz,              -93.21, dBm,
            53266825,Hz,              -98.16, dBm,
            53271831,Hz,              -92.32, dBm,
            53276837,Hz,              -88.55, dBm,
            53281843,Hz,              -94.00, dBm,
            53286849,Hz,              -86.82, dBm,
            53291855,Hz,              -85.79, dBm,
            53296861,Hz,              -90.74, dBm,
            53301867,Hz,              -95.21, dBm,
            53306873,Hz,              -95.74, dBm,
            53311879,Hz,              -93.35, dBm,
            53316885,Hz,              -91.98, dBm,
            53321891,Hz,              -94.25, dBm,
            53326897,Hz,              -96.91, dBm,
            53331903,Hz,              -94.35, dBm,
            53336909,Hz,              -93.60, dBm,
            53341915,Hz,              -93.46, dBm,
            53346921,Hz,              -92.16, dBm,
            53351927,Hz,              -91.74, dBm,
            53356933,Hz,              -95.39, dBm,
            53361939,Hz,              -95.34, dBm,
            53366945,Hz,              -92.52, dBm,
            53371951,Hz,              -92.39, dBm,
            53376957,Hz,              -93.31, dBm,
            53381963,Hz,              -93.73, dBm,
            53386969,Hz,              -91.60, dBm,
            53391975,Hz,              -90.81, dBm,
            53396981,Hz,              -97.33, dBm,
            53401987,Hz,              -89.42, dBm,
            53406993,Hz,              -89.29, dBm,
            53411999,Hz,              -93.75, dBm,
            53417005,Hz,              -93.37, dBm,
            53422011,Hz,              -91.41, dBm,
            53427017,Hz,              -94.55, dBm,
            53432023,Hz,              -92.14, dBm,
            53437029,Hz,              -92.44, dBm,
            53442035,Hz,              -99.04, dBm,
