Trace1,,,,Trace2,,,,
Freq,,Amp,,Freq,,Amp,,
            53076464,Hz,              -92.14, dBm,            53076464,Hz,              -92.28, dBm,
            53077040,Hz,              -91.94, dBm,            53077040,Hz,              -92.72, dBm,
            53077616,Hz,              -91.09, dBm,            53077616,Hz,              -92.79, dBm,
            53078192,Hz,              -91.08, dBm,            53078192,Hz,              -92.80, dBm,
            53078768,Hz,              -90.10, dBm,            53078768,Hz,              -91.76, dBm,
            53079344,Hz,              -92.07, dBm,            53079344,Hz,              -92.56, dBm,
            53079920,Hz,              -91.58, dBm,            53079920,Hz,              -92.02, dBm,
            53080496,Hz,              -91.51, dBm,            53080496,Hz,              -91.39, dBm,
            53081072,Hz,              -93.02, dBm,            53081072,Hz,              -92.32, dBm,
            53081648,Hz,              -90.29, dBm,            53081648,Hz,              -92.07, dBm,
            53082224,Hz,              -92.08, dBm,            53082224,Hz,              -92.60, dBm,
            53082800,Hz,              -90.50, dBm,            53082800,Hz,              -92.21, dBm,
            53083376,Hz,              -92.25, dBm,            53083376,Hz,              -92.57, dBm,
            53083952,Hz,              -92.14, dBm,            53083952,Hz,              -92.65, dBm,
            53084528,Hz,              -92.21, dBm,            53084528,Hz,              -92.53, dBm,
            53085104,Hz,              -90.91, dBm,            53085104,Hz,              -92.17, dBm,
            53085680,Hz,              -91.85, dBm,            53085680,Hz,              -92.03, dBm,
            53086256,Hz,              -92.05, dBm,            53086256,Hz,              -91.90, dBm,
            53086832,Hz,              -91.40, dBm,            53086832,Hz,              -92.16, dBm,
            53087408,Hz,              -91.61, dBm,            53087408,Hz,              -91.86, dBm,
            53087984,Hz,              -91.58, dBm,            53087984,Hz,              -92.19, dBm,
            53088560,Hz,              -90.33, dBm,            53088560,Hz,              -91.95, dBm,
            53089136,Hz,              -89.15, dBm,            53089136,Hz,              -91.62, dBm,
            53089712,Hz,              -92.24, dBm,            53089712,Hz,              -92.07, dBm,
            53090288,Hz,              -90.36, dBm,            53090288,Hz,              -92.06, dBm,
            53090864,Hz,              -91.41, dBm,            53090864,Hz,              -92.45, dBm,
            53091440,Hz,              -91.44, dBm,            53091440,Hz,              -92.25, dBm,
            53092016,Hz,              -90.74, dBm,            53092016,Hz,              -92.16, dBm,
            53092592,Hz,              -89.36, dBm,            53092592,Hz,              -91.38, dBm,
            53093168,Hz,              -90.91, dBm,            53093168,Hz,              -91.19, dBm,
            53093744,Hz,              -90.93, dBm,            53093744,Hz,              -91.66, dBm,
            53094320,Hz,              -90.48, dBm,            53094320,Hz,              -91.46, dBm,
            53094896,Hz,              -91.75, dBm,            53094896,Hz,              -92.18, dBm,
            53095472,Hz,              -90.99, dBm,            53095472,Hz,              -91.42, dBm,
            53096048,Hz,              -91.56, dBm,            53096048,Hz,              -91.28, dBm,
            53096624,Hz,              -89.43, dBm,            53096624,Hz,              -91.77, dBm,
            53097200,Hz,              -90.00, dBm,            53097200,Hz,              -91.49, dBm,
            53097776,Hz,              -90.57, dBm,            53097776,Hz,              -91.70, dBm,
            53098352,Hz,              -90.55, dBm,            53098352,Hz,              -91.82, dBm,
            53098928,Hz,              -91.14, dBm,            53098928,Hz,              -91.78, dBm,
            53099504,Hz,              -90.99, dBm,            53099504,Hz,              -91.34, dBm,
            53100080,Hz,              -90.12, dBm,            53100080,Hz,              -91.58, dBm,
            53100656,Hz,              -90.39, dBm,            53100656,Hz,              -91.24, dBm,
            53101232,Hz,              -90.11, dBm,            53101232,Hz,              -90.96, dBm,
            53101808,Hz,              -90.93, dBm,            53101808,Hz,              -91.01, dBm,
            53102384,Hz,              -92.03, dBm,            53102384,Hz,              -91.30, dBm,
            53102960,Hz,              -88.62, dBm,            53102960,Hz,              -90.51, dBm,
            53103536,Hz,              -90.03, dBm,            53103536,Hz,              -91.32, dBm,
            53104112,Hz,              -90.44, dBm,            53104112,Hz,              -90.74, dBm,
            53104688,Hz,              -90.60, dBm,            53104688,Hz,              -91.36, dBm,
            53105264,Hz,              -89.85, dBm,            53105264,Hz,              -91.33, dBm,
            53105840,Hz,              -91.09, dBm,            53105840,Hz,              -91.13, dBm,
            53106416,Hz,              -90.05, dBm,            53106416,Hz,              -90.44, dBm,
            53106992,Hz,              -88.99, dBm,            53106992,Hz,              -90.57, dBm,
            53107568,Hz,              -89.95, dBm,            53107568,Hz,              -90.12, dBm,
            53108144,Hz,              -90.83, dBm,            53108144,Hz,              -91.74, dBm,
            53108720,Hz,              -91.58, dBm,            53108720,Hz,              -91.50, dBm,
            53109296,Hz,              -90.30, dBm,            53109296,Hz,              -90.24, dBm,
            53109872,Hz,              -89.00, dBm,            53109872,Hz,              -90.67, dBm,
            53110448,Hz,              -91.25, dBm,            53110448,Hz,              -90.70, dBm,
            53111024,Hz,              -89.49, dBm,            53111024,Hz,              -90.44, dBm,
            53111600,Hz,              -88.78, dBm,            53111600,Hz,              -90.60, dBm,
            53112176,Hz,              -89.81, dBm,            53112176,Hz,              -90.35, dBm,
            53112752,Hz,              -88.70, dBm,            53112752,Hz,              -90.59, dBm,
            53113328,Hz,              -90.61, dBm,            53113328,Hz,              -90.49, dBm,
            53113904,Hz,              -87.97, dBm,            53113904,Hz,              -90.46, dBm,
            53114480,Hz,              -89.18, dBm,            53114480,Hz,              -90.51, dBm,
            53115056,Hz,              -89.43, dBm,            53115056,Hz,              -90.47, dBm,
            53115632,Hz,              -89.73, dBm,            53115632,Hz,              -90.99, dBm,
            53116208,Hz,              -88.82, dBm,            53116208,Hz,              -89.96, dBm,
            53116784,Hz,              -89.06, dBm,            53116784,Hz,              -90.33, dBm,
            53117360,Hz,              -89.94, dBm,            53117360,Hz,              -90.90, dBm,
            53117936,Hz,              -91.08, dBm,            53117936,Hz,              -90.88, dBm,
            53118512,Hz,              -89.57, dBm,            53118512,Hz,              -90.31, dBm,
            53119088,Hz,              -89.66, dBm,            53119088,Hz,              -90.21, dBm,
            53119664,Hz,              -89.03, dBm,            53119664,Hz,              -90.30, dBm,
            53120240,Hz,              -89.33, dBm,            53120240,Hz,              -89.95, dBm,
            53120816,Hz,              -90.96, dBm,            53120816,Hz,              -90.56, dBm,
            53121392,Hz,              -87.38, dBm,            53121392,Hz,              -89.39, dBm,
            53121968,Hz,              -89.39, dBm,            53121968,Hz,              -90.08, dBm,
            53122544,Hz,              -90.68, dBm,            53122544,Hz,              -89.69, dBm,
            53123120,Hz,              -88.00, dBm,            53123120,Hz,              -90.12, dBm,
            53123696,Hz,              -88.95, dBm,            53123696,Hz,              -89.59, dBm,
            53124272,Hz,              -86.92, dBm,            53124272,Hz,              -89.06, dBm,
            53124848,Hz,              -88.47, dBm,            53124848,Hz,              -89.15, dBm,
            53125424,Hz,              -87.63, dBm,            53125424,Hz,              -89.24, dBm,
            53126000,Hz,              -88.09, dBm,            53126000,Hz,              -89.67, dBm,
            53126576,Hz,              -89.14, dBm,            53126576,Hz,              -89.42, dBm,
            53127152,Hz,              -89.65, dBm,            53127152,Hz,              -89.72, dBm,
            53127728,Hz,              -89.63, dBm,            53127728,Hz,              -89.85, dBm,
            53128304,Hz,              -88.53, dBm,            53128304,Hz,              -89.72, dBm,
            53128880,Hz,              -88.27, dBm,            53128880,Hz,              -88.82, dBm,
            53129456,Hz,              -88.41, dBm,            53129456,Hz,              -89.04, dBm,
            53130032,Hz,              -88.47, dBm,            53130032,Hz,              -89.19, dBm,
            53130608,Hz,              -87.96, dBm,            53130608,Hz,              -89.14, dBm,
            53131184,Hz,              -87.58, dBm,            53131184,Hz,              -89.36, dBm,
            53131760,Hz,              -87.26, dBm,            53131760,Hz,              -88.91, dBm,
            53132336,Hz,              -88.24, dBm,            53132336,Hz,              -89.00, dBm,
            53132912,Hz,              -87.87, dBm,            53132912,Hz,              -88.48, dBm,
            53133488,Hz,              -87.04, dBm,            53133488,Hz,              -88.32, dBm,
            53134064,Hz,              -87.29, dBm,            53134064,Hz,              -89.01, dBm,
            53134640,Hz,              -88.31, dBm,            53134640,Hz,              -88.89, dBm,
            53135216,Hz,              -88.17, dBm,            53135216,Hz,              -88.40, dBm,
            53135792,Hz,              -88.91, dBm,            53135792,Hz,              -88.89, dBm,
            53136368,Hz,              -87.76, dBm,            53136368,Hz,              -88.74, dBm,
            53136944,Hz,              -88.45, dBm,            53136944,Hz,              -89.10, dBm,
            53137520,Hz,              -87.16, dBm,            53137520,Hz,              -88.92, dBm,
            53138096,Hz,              -86.01, dBm,            53138096,Hz,              -88.52, dBm,
            53138672,Hz,              -88.33, dBm,            53138672,Hz,              -88.31, dBm,
            53139248,Hz,              -87.24, dBm,            53139248,Hz,              -88.98, dBm,
            53139824,Hz,              -87.67, dBm,            53139824,Hz,              -88.32, dBm,
            53140400,Hz,              -87.54, dBm,            53140400,Hz,              -88.64, dBm,
            53140976,Hz,              -85.79, dBm,            53140976,Hz,              -88.44, dBm,
            53141552,Hz,              -87.60, dBm,            53141552,Hz,              -88.52, dBm,
            53142128,Hz,              -88.37, dBm,            53142128,Hz,              -88.51, dBm,
            53142704,Hz,              -87.99, dBm,            53142704,Hz,              -88.01, dBm,
            53143280,Hz,              -86.85, dBm,            53143280,Hz,              -88.23, dBm,
            53143856,Hz,              -87.29, dBm,            53143856,Hz,              -88.54, dBm,
            53144432,Hz,              -86.75, dBm,            53144432,Hz,              -88.39, dBm,
            53145008,Hz,              -87.07, dBm,            53145008,Hz,              -87.80, dBm,
            53145584,Hz,              -87.04, dBm,            53145584,Hz,              -87.94, dBm,
            53146160,Hz,              -88.00, dBm,            53146160,Hz,              -88.22, dBm,
            53146736,Hz,              -86.69, dBm,            53146736,Hz,              -87.60, dBm,
            53147312,Hz,              -86.31, dBm,            53147312,Hz,              -87.69, dBm,
            53147888,Hz,              -85.55, dBm,            53147888,Hz,              -87.51, dBm,
            53148464,Hz,              -86.38, dBm,            53148464,Hz,              -87.83, dBm,
            53149040,Hz,              -86.16, dBm,            53149040,Hz,              -88.04, dBm,
            53149616,Hz,              -86.89, dBm,            53149616,Hz,              -88.07, dBm,
            53150192,Hz,              -85.86, dBm,            53150192,Hz,              -87.38, dBm,
            53150768,Hz,              -87.41, dBm,            53150768,Hz,              -87.06, dBm,
            53151344,Hz,              -86.40, dBm,            53151344,Hz,              -87.26, dBm,
            53151920,Hz,              -86.13, dBm,            53151920,Hz,              -87.03, dBm,
            53152496,Hz,              -85.98, dBm,            53152496,Hz,              -87.18, dBm,
            53153072,Hz,              -86.02, dBm,            53153072,Hz,              -86.76, dBm,
            53153648,Hz,              -86.79, dBm,            53153648,Hz,              -87.53, dBm,
            53154224,Hz,              -86.20, dBm,            53154224,Hz,              -87.20, dBm,
            53154800,Hz,              -85.44, dBm,            53154800,Hz,              -86.23, dBm,
            53155376,Hz,              -83.62, dBm,            53155376,Hz,              -85.38, dBm,
            53155952,Hz,              -84.43, dBm,            53155952,Hz,              -85.01, dBm,
            53156528,Hz,              -84.41, dBm,            53156528,Hz,              -84.89, dBm,
            53157104,Hz,              -84.43, dBm,            53157104,Hz,              -85.33, dBm,
            53157680,Hz,              -86.02, dBm,            53157680,Hz,              -86.33, dBm,
            53158256,Hz,              -84.92, dBm,            53158256,Hz,              -85.76, dBm,
            53158832,Hz,              -83.53, dBm,            53158832,Hz,              -85.75, dBm,
            53159408,Hz,              -83.98, dBm,            53159408,Hz,              -86.40, dBm,
            53159984,Hz,              -84.39, dBm,            53159984,Hz,              -86.23, dBm,
            53160560,Hz,              -84.90, dBm,            53160560,Hz,              -85.55, dBm,
            53161136,Hz,              -84.58, dBm,            53161136,Hz,              -85.69, dBm,
            53161712,Hz,              -84.84, dBm,            53161712,Hz,              -86.07, dBm,
            53162288,Hz,              -84.24, dBm,            53162288,Hz,              -86.16, dBm,
            53162864,Hz,              -84.91, dBm,            53162864,Hz,              -85.80, dBm,
            53163440,Hz,              -86.04, dBm,            53163440,Hz,              -86.19, dBm,
            53164016,Hz,              -84.83, dBm,            53164016,Hz,              -86.01, dBm,
            53164592,Hz,              -83.58, dBm,            53164592,Hz,              -86.35, dBm,
            53165168,Hz,              -83.92, dBm,            53165168,Hz,              -85.66, dBm,
            53165744,Hz,              -85.22, dBm,            53165744,Hz,              -85.35, dBm,
            53166320,Hz,              -83.99, dBm,            53166320,Hz,              -85.05, dBm,
            53166896,Hz,              -84.15, dBm,            53166896,Hz,              -85.15, dBm,
            53167472,Hz,              -82.50, dBm,            53167472,Hz,              -85.35, dBm,
            53168048,Hz,              -84.19, dBm,            53168048,Hz,              -84.60, dBm,
            53168624,Hz,              -84.57, dBm,            53168624,Hz,              -85.13, dBm,
            53169200,Hz,              -83.15, dBm,            53169200,Hz,              -84.83, dBm,
            53169776,Hz,              -82.39, dBm,            53169776,Hz,              -85.07, dBm,
            53170352,Hz,              -82.97, dBm,            53170352,Hz,              -84.77, dBm,
            53170928,Hz,              -83.87, dBm,            53170928,Hz,              -84.97, dBm,
            53171504,Hz,              -83.98, dBm,            53171504,Hz,              -84.53, dBm,
            53172080,Hz,              -83.87, dBm,            53172080,Hz,              -84.15, dBm,
            53172656,Hz,              -81.75, dBm,            53172656,Hz,              -84.28, dBm,
            53173232,Hz,              -82.44, dBm,            53173232,Hz,              -83.67, dBm,
            53173808,Hz,              -83.40, dBm,            53173808,Hz,              -84.52, dBm,
            53174384,Hz,              -83.00, dBm,            53174384,Hz,              -84.59, dBm,
            53174960,Hz,              -81.77, dBm,            53174960,Hz,              -83.29, dBm,
            53175536,Hz,              -81.87, dBm,            53175536,Hz,              -83.66, dBm,
            53176112,Hz,              -82.74, dBm,            53176112,Hz,              -83.63, dBm,
            53176688,Hz,              -82.45, dBm,            53176688,Hz,              -84.11, dBm,
            53177264,Hz,              -82.80, dBm,            53177264,Hz,              -83.38, dBm,
            53177840,Hz,              -81.71, dBm,            53177840,Hz,              -83.37, dBm,
            53178416,Hz,              -82.00, dBm,            53178416,Hz,              -83.73, dBm,
            53178992,Hz,              -82.26, dBm,            53178992,Hz,              -83.87, dBm,
            53179568,Hz,              -82.31, dBm,            53179568,Hz,              -83.20, dBm,
            53180144,Hz,              -83.03, dBm,            53180144,Hz,              -83.69, dBm,
            53180720,Hz,              -80.43, dBm,            53180720,Hz,              -83.03, dBm,
            53181296,Hz,              -82.44, dBm,            53181296,Hz,              -83.40, dBm,
            53181872,Hz,              -82.41, dBm,            53181872,Hz,              -82.70, dBm,
            53182448,Hz,              -81.71, dBm,            53182448,Hz,              -83.15, dBm,
            53183024,Hz,              -80.88, dBm,            53183024,Hz,              -82.41, dBm,
            53183600,Hz,              -80.90, dBm,            53183600,Hz,              -82.32, dBm,
            53184176,Hz,              -81.12, dBm,            53184176,Hz,              -82.28, dBm,
            53184752,Hz,              -80.76, dBm,            53184752,Hz,              -81.92, dBm,
            53185328,Hz,              -81.15, dBm,            53185328,Hz,              -82.04, dBm,
            53185904,Hz,              -79.95, dBm,            53185904,Hz,              -82.32, dBm,
            53186480,Hz,              -81.52, dBm,            53186480,Hz,              -81.50, dBm,
            53187056,Hz,              -80.62, dBm,            53187056,Hz,              -81.37, dBm,
            53187632,Hz,              -80.15, dBm,            53187632,Hz,              -82.36, dBm,
            53188208,Hz,              -80.31, dBm,            53188208,Hz,              -81.95, dBm,
            53188784,Hz,              -79.00, dBm,            53188784,Hz,              -81.42, dBm,
            53189360,Hz,              -80.11, dBm,            53189360,Hz,              -80.74, dBm,
            53189936,Hz,              -79.81, dBm,            53189936,Hz,              -80.72, dBm,
