retention,0.9875,0.875,0.775,0.825,0.725,0.675,0.6875,0.7,0.65,0.6375,0.525,0.3625,0.675,0.7,0.7,0.6375,0.475,0.5875,0.525,0.675,0.625,0.725,0.7125,0.7375,0.775,0.6875,0.7375,0.6125,0.4875,0.2625,0.2125,0.375,0.2625,0.4375,0.375,0.35,0.5125,0.675,0.525,0.6375,0.725,0.7375,0.825,0.8625,0.875,0.9125,0.925,0.925,0.9625,0.95,0.925
loading,80,80,80,80,80,80,80,80,80,80,80,80,80,80,80,80,80,80,80,80,80,80,80,80,80,80,80,80,80,80,80,80,80,80,80,80,80,80,80,80,80,80,80,80,80,80,80,80,80,80,80
