Trace1,,,,Trace2,,,,
Freq,,Amp,,Freq,,Amp,,
            53187077,Hz,              -98.98, dBm,            53187077,Hz,              -99.04, dBm,
            53187268,Hz,             -102.04, dBm,            53187268,Hz,             -100.04, dBm,
            53187459,Hz,             -101.95, dBm,            53187459,Hz,             -100.07, dBm,
            53187650,Hz,             -104.18, dBm,            53187650,Hz,             -100.91, dBm,
            53187841,Hz,             -104.53, dBm,            53187841,Hz,             -101.16, dBm,
            53188032,Hz,             -103.49, dBm,            53188032,Hz,             -101.10, dBm,
            53188223,Hz,             -103.10, dBm,            53188223,Hz,             -102.60, dBm,
            53188414,Hz,             -103.79, dBm,            53188414,Hz,             -102.60, dBm,
            53188605,Hz,             -102.02, dBm,            53188605,Hz,             -100.55, dBm,
            53188796,Hz,             -105.29, dBm,            53188796,Hz,             -102.21, dBm,
            53188987,Hz,             -102.41, dBm,            53188987,Hz,             -101.50, dBm,
            53189178,Hz,             -102.58, dBm,            53189178,Hz,             -100.36, dBm,
            53189369,Hz,             -100.48, dBm,            53189369,Hz,             -101.09, dBm,
            53189560,Hz,             -103.79, dBm,            53189560,Hz,             -101.17, dBm,
            53189751,Hz,             -104.39, dBm,            53189751,Hz,             -101.29, dBm,
            53189942,Hz,             -102.00, dBm,            53189942,Hz,             -100.83, dBm,
            53190133,Hz,             -100.58, dBm,            53190133,Hz,              -99.72, dBm,
            53190324,Hz,             -102.58, dBm,            53190324,Hz,             -100.80, dBm,
            53190515,Hz,             -102.67, dBm,            53190515,Hz,             -100.13, dBm,
            53190706,Hz,             -101.71, dBm,            53190706,Hz,             -101.49, dBm,
            53190897,Hz,             -100.79, dBm,            53190897,Hz,              -99.80, dBm,
            53191088,Hz,             -100.91, dBm,            53191088,Hz,             -100.15, dBm,
            53191279,Hz,             -102.03, dBm,            53191279,Hz,             -101.36, dBm,
            53191470,Hz,             -101.60, dBm,            53191470,Hz,             -100.12, dBm,
            53191661,Hz,             -102.11, dBm,            53191661,Hz,              -99.60, dBm,
            53191852,Hz,             -100.10, dBm,            53191852,Hz,             -100.72, dBm,
            53192043,Hz,             -101.64, dBm,            53192043,Hz,             -100.23, dBm,
            53192234,Hz,              -99.22, dBm,            53192234,Hz,              -99.57, dBm,
            53192425,Hz,              -98.87, dBm,            53192425,Hz,             -100.04, dBm,
            53192616,Hz,             -101.10, dBm,            53192616,Hz,              -99.82, dBm,
            53192807,Hz,             -102.27, dBm,            53192807,Hz,              -98.90, dBm,
            53192998,Hz,             -100.02, dBm,            53192998,Hz,              -98.92, dBm,
            53193189,Hz,              -98.87, dBm,            53193189,Hz,              -97.20, dBm,
            53193380,Hz,              -99.61, dBm,            53193380,Hz,              -98.88, dBm,
            53193571,Hz,              -99.93, dBm,            53193571,Hz,              -99.30, dBm,
            53193762,Hz,              -98.33, dBm,            53193762,Hz,              -99.68, dBm,
            53193953,Hz,             -104.30, dBm,            53193953,Hz,             -100.68, dBm,
            53194144,Hz,             -101.67, dBm,            53194144,Hz,              -98.79, dBm,
            53194335,Hz,              -98.54, dBm,            53194335,Hz,              -98.28, dBm,
            53194526,Hz,              -97.14, dBm,            53194526,Hz,              -97.52, dBm,
            53194717,Hz,              -98.16, dBm,            53194717,Hz,              -97.09, dBm,
            53194908,Hz,              -99.41, dBm,            53194908,Hz,              -98.11, dBm,
            53195099,Hz,              -96.90, dBm,            53195099,Hz,              -97.84, dBm,
            53195290,Hz,              -98.98, dBm,            53195290,Hz,              -96.48, dBm,
            53195481,Hz,             -100.80, dBm,            53195481,Hz,              -97.70, dBm,
            53195672,Hz,              -98.77, dBm,            53195672,Hz,              -96.44, dBm,
            53195863,Hz,              -99.09, dBm,            53195863,Hz,              -97.37, dBm,
            53196054,Hz,              -98.77, dBm,            53196054,Hz,              -97.03, dBm,
            53196245,Hz,              -95.99, dBm,            53196245,Hz,              -95.85, dBm,
            53196436,Hz,              -98.94, dBm,            53196436,Hz,              -97.65, dBm,
            53196627,Hz,              -98.21, dBm,            53196627,Hz,              -96.07, dBm,
            53196818,Hz,              -96.05, dBm,            53196818,Hz,              -97.36, dBm,
            53197009,Hz,              -97.88, dBm,            53197009,Hz,              -96.82, dBm,
            53197200,Hz,              -98.67, dBm,            53197200,Hz,              -97.78, dBm,
            53197391,Hz,              -98.06, dBm,            53197391,Hz,              -96.44, dBm,
            53197582,Hz,              -96.71, dBm,            53197582,Hz,              -95.67, dBm,
            53197773,Hz,              -98.64, dBm,            53197773,Hz,              -97.36, dBm,
            53197964,Hz,              -98.55, dBm,            53197964,Hz,              -96.73, dBm,
            53198155,Hz,              -95.17, dBm,            53198155,Hz,              -96.07, dBm,
            53198346,Hz,              -95.91, dBm,            53198346,Hz,              -95.56, dBm,
            53198537,Hz,              -97.11, dBm,            53198537,Hz,              -95.95, dBm,
            53198728,Hz,              -96.02, dBm,            53198728,Hz,              -95.09, dBm,
            53198919,Hz,              -96.93, dBm,            53198919,Hz,              -96.02, dBm,
            53199110,Hz,              -98.77, dBm,            53199110,Hz,              -97.62, dBm,
            53199301,Hz,              -98.16, dBm,            53199301,Hz,              -97.28, dBm,
            53199492,Hz,              -97.08, dBm,            53199492,Hz,              -95.64, dBm,
            53199683,Hz,              -95.69, dBm,            53199683,Hz,              -95.73, dBm,
            53199874,Hz,              -97.04, dBm,            53199874,Hz,              -96.73, dBm,
            53200065,Hz,              -98.47, dBm,            53200065,Hz,              -97.05, dBm,
            53200256,Hz,              -98.15, dBm,            53200256,Hz,              -96.60, dBm,
            53200447,Hz,              -97.97, dBm,            53200447,Hz,              -96.38, dBm,
            53200638,Hz,              -99.14, dBm,            53200638,Hz,              -95.91, dBm,
            53200829,Hz,              -97.11, dBm,            53200829,Hz,              -95.29, dBm,
            53201020,Hz,              -95.20, dBm,            53201020,Hz,              -96.13, dBm,
            53201211,Hz,              -97.10, dBm,            53201211,Hz,              -96.16, dBm,
            53201402,Hz,              -97.03, dBm,            53201402,Hz,              -96.06, dBm,
            53201593,Hz,              -98.13, dBm,            53201593,Hz,              -96.44, dBm,
            53201784,Hz,              -99.37, dBm,            53201784,Hz,              -96.87, dBm,
            53201975,Hz,              -99.06, dBm,            53201975,Hz,              -96.93, dBm,
            53202166,Hz,             -100.57, dBm,            53202166,Hz,              -97.24, dBm,
            53202357,Hz,              -96.88, dBm,            53202357,Hz,              -95.59, dBm,
            53202548,Hz,             -100.31, dBm,            53202548,Hz,              -98.71, dBm,
            53202739,Hz,             -101.78, dBm,            53202739,Hz,              -98.90, dBm,
            53202930,Hz,              -97.59, dBm,            53202930,Hz,              -97.33, dBm,
            53203121,Hz,              -97.94, dBm,            53203121,Hz,              -96.64, dBm,
            53203312,Hz,             -102.01, dBm,            53203312,Hz,              -97.58, dBm,
            53203503,Hz,             -100.36, dBm,            53203503,Hz,              -98.92, dBm,
            53203694,Hz,              -97.56, dBm,            53203694,Hz,              -97.10, dBm,
