Trace1,
Freq,,Amp,,
           102143677,Hz,              -96.38, dBm,
           102157172,Hz,              -95.99, dBm,
           102170667,Hz,              -96.00, dBm,
           102184162,Hz,              -96.04, dBm,
           102197657,Hz,              -95.84, dBm,
           102211152,Hz,              -95.73, dBm,
           102224647,Hz,              -96.39, dBm,
           102238142,Hz,              -96.15, dBm,
           102251637,Hz,              -95.96, dBm,
           102265132,Hz,              -96.02, dBm,
           102278627,Hz,              -95.71, dBm,
           102292122,Hz,              -95.92, dBm,
           102305617,Hz,              -95.88, dBm,
           102319112,Hz,              -95.93, dBm,
           102332607,Hz,              -95.76, dBm,
           102346102,Hz,              -95.95, dBm,
           102359597,Hz,              -95.66, dBm,
           102373092,Hz,              -96.01, dBm,
           102386587,Hz,              -95.89, dBm,
           102400082,Hz,              -95.33, dBm,
           102413577,Hz,              -95.53, dBm,
           102427072,Hz,              -95.80, dBm,
           102440567,Hz,              -95.54, dBm,
           102454062,Hz,              -95.33, dBm,
           102467557,Hz,              -95.40, dBm,
           102481052,Hz,              -95.44, dBm,
           102494547,Hz,              -95.55, dBm,
           102508042,Hz,              -95.17, dBm,
           102521537,Hz,              -95.35, dBm,
           102535032,Hz,              -95.12, dBm,
           102548527,Hz,              -95.36, dBm,
           102562022,Hz,              -95.15, dBm,
           102575517,Hz,              -95.10, dBm,
           102589012,Hz,              -94.83, dBm,
           102602507,Hz,              -95.13, dBm,
           102616002,Hz,              -95.03, dBm,
           102629497,Hz,              -94.93, dBm,
           102642992,Hz,              -94.79, dBm,
           102656487,Hz,              -95.16, dBm,
           102669982,Hz,              -94.72, dBm,
           102683477,Hz,              -94.61, dBm,
           102696972,Hz,              -94.58, dBm,
           102710467,Hz,              -94.69, dBm,
           102723962,Hz,              -94.29, dBm,
           102737457,Hz,              -94.16, dBm,
           102750952,Hz,              -94.03, dBm,
           102764447,Hz,              -94.40, dBm,
           102777942,Hz,              -93.93, dBm,
           102791437,Hz,              -93.77, dBm,
           102804932,Hz,              -93.72, dBm,
           102818427,Hz,              -93.71, dBm,
           102831922,Hz,              -93.70, dBm,
           102845417,Hz,              -93.96, dBm,
           102858912,Hz,              -93.54, dBm,
           102872407,Hz,              -93.19, dBm,
           102885902,Hz,              -93.24, dBm,
           102899397,Hz,              -93.29, dBm,
           102912892,Hz,              -93.14, dBm,
           102926387,Hz,              -92.85, dBm,
           102939882,Hz,              -92.48, dBm,
           102953377,Hz,              -92.86, dBm,
           102966872,Hz,              -92.36, dBm,
           102980367,Hz,              -92.25, dBm,
           102993862,Hz,              -92.02, dBm,
           103007357,Hz,              -92.19, dBm,
           103020852,Hz,              -91.89, dBm,
           103034347,Hz,              -91.76, dBm,
           103047842,Hz,              -92.01, dBm,
           103061337,Hz,              -91.66, dBm,
           103074832,Hz,              -91.29, dBm,
           103088327,Hz,              -90.91, dBm,
           103101822,Hz,              -91.14, dBm,
           103115317,Hz,              -90.50, dBm,
           103128812,Hz,              -90.90, dBm,
           103142307,Hz,              -90.73, dBm,
           103155802,Hz,              -90.57, dBm,
           103169297,Hz,              -90.26, dBm,
           103182792,Hz,              -89.88, dBm,
           103196287,Hz,              -89.86, dBm,
           103209782,Hz,              -89.73, dBm,
           103223277,Hz,              -89.42, dBm,
           103236772,Hz,              -89.62, dBm,
           103250267,Hz,              -89.48, dBm,
           103263762,Hz,              -89.02, dBm,
           103277257,Hz,              -88.94, dBm,
           103290752,Hz,              -88.92, dBm,
           103304247,Hz,              -88.49, dBm,
           103317742,Hz,              -88.69, dBm,
           103331237,Hz,              -88.31, dBm,
           103344732,Hz,              -87.93, dBm,
           103358227,Hz,              -87.88, dBm,
           103371722,Hz,              -88.10, dBm,
           103385217,Hz,              -87.59, dBm,
           103398712,Hz,              -87.64, dBm,
           103412207,Hz,              -87.30, dBm,
